"Study_#","Source","Publication_year","Link","Country","M49_Code","Region","Category","WB_Income_Category","Study_area_level","Study_area_name","Country_Population_Millions","Household","Food_Service","Retail","Method","Confidence_Classification","Description","Household_Diary?","Edible_Waste_Only?","Year(s)_covered","FW_Share_estimate","Share_note","Edible_Avoidable_Share","Edible_Avoidable_Note"," Mass_estimate ","Original_Mass_Measure"," Time_Adjustment_Y "," Weight_Adjustment_T "," Standardised_Mass_tonnes/year ","Derived_Estimate_Needed?"," Study_Year_Country_Population "," Study_Year_Subnational_Population ","Derived_Normalised_kg/capita/year","Normalised_Mass_Estimate","Original_Normalised_Mass_Measure","Normalised_Weight_Adjustment_kg","Normalised_Time_Adjustment_Y","Standardised_Normalised_Mass_kg/capita/year","Preferred_estimate_kg/capita","Household_Diary_Adjustment","Household_Inedible_Adjustment","Food_Service_Inedible_Adjustment","Retail_Inedible_Adjustment","Total_Adjustment","Final_kg/cap/yr_estimate"
1,"National Food Waste Baseline: Final assessment report",2019,"http://www.environment.gov.au/system/files/pages/25e36a8c-3a9c-487c-a9cb-66ec15ba61d0/files/national-food-waste-baseline-final-assessment.pdf","Australia",36,"Australia and New Zealand","Developed","HIC","Nationwide",,25.2032,1,,,"Waste Composition Analysis",1,"This paper represents the national baseline estimate for food waste commissioned by the Australian government in order to be the basis for measurement and reporting of progress on Australia's National Food Waste Strategy 2017. To generate the estimate for household, they combined state government data and modelling forward previously aggregated state government estimates which informed the National Waste Report (2016).",,,2017,,,,," 2,500,200 ","Tonnes / year",2500200,2500200," 2,500,200 ",1," 24,584,600 "," -   ",102,,,,,,102,1.00,1.00,1.00,1.00,1.00,102
1,"National Food Waste Baseline: Final assessment report",2019,"http://www.environment.gov.au/system/files/pages/25e36a8c-3a9c-487c-a9cb-66ec15ba61d0/files/national-food-waste-baseline-final-assessment.pdf","Australia",36,"Australia and New Zealand","Developed","HIC","Nationwide",,25.2032,,1,,"Data from industry",1,"This paper represents the national baseline estimate for food waste commissioned by the Australian government in order to be the basis for measurement and reporting of progress on Australia's National Food Waste Strategy 2017. The figure was calculated through a number of surveys and published figures for hospitality and food service (commercial), and a range of small samples at institutions such as hospitals and universities. These were scaled based on relevant figures such as the number of students and inmates for schools and prisons respectively. The authors highlight low confidence in the instutitional estimates due to small samples. However, it represents wide coverage and the low confidence is ""not considered material given the estimated scale of food waste produced"".",,,2017,,,,," 532,930 ","Tonnes / year",532930,532930," 532,930 ",1," 24,584,600 "," -   ",22,,,,,,22,1.00,1.00,1.00,1.00,1.00,22
1,"National Food Waste Baseline: Final assessment report",2019,"http://www.environment.gov.au/system/files/pages/25e36a8c-3a9c-487c-a9cb-66ec15ba61d0/files/national-food-waste-baseline-final-assessment.pdf","Australia",36,"Australia and New Zealand","Developed","HIC","Nationwide",,25.2032,,,1,"Data from industry",1,"This paper represents the national baseline estimate for food waste commissioned by the Australian government in order to be the basis for measurement and reporting of progress on Australia's National Food Waste Strategy 2017. The Retail figure was calculated through publicly available waste estimates for major supermarkets and data from large shopping centre organisations. The source paper also has an estimate for Wholesale, which has been excluded here.",,,2017,,,,," 232,400 ","Tonnes / year",232400,232400," 232,400 ",1," 24,584,600 "," -   ",9,,,,,,9,1.00,1.00,1.00,1.00,1.00,9
2,"Food Waste Statistics Austria",2017,"https://ec.europa.eu/food/sites/food/files/safety/docs/fw_eu-platform_20170925_sub-fwm_pres-02b.pdf","Austria",40,"Western Europe","Developed","HIC","Nationwide",,8.9551,,1,,"Waste Composition Analysis",1,"50 establishments had waste compositional analyses carried out (23 canteen kitchens, including hospitals and nursing homes; 13 accommodation establishments; 13 restaurants, 1 catering). This represents wide coverage of both commercial and non-commercial out of home consumption. From the compositional analyses, extrapolation was based on food waste quantities per meals, number of meals per estalishment type and number of establishment types.",,,2015,,,78%,"Avoidable waste registered as 175,000 tonnes, not avoidable from food preparation as 48,500 tonnes. Approximately 22% was therefore unavoidable.
The source goes into more detail with split of avoidable food waste in subsectors: restaurants; accommodation establishments; canteens; other similar establishments like coffee houses."," 223,500 ","Tonnes / year",223500,223500," 223,500 ",1," 8,702,757 "," -   ",26,,,,,,26,1.00,1.00,1.00,1.00,1.00,26
2,"Food Waste Statistics Austria",2017,"https://ec.europa.eu/food/sites/food/files/safety/docs/fw_eu-platform_20170925_sub-fwm_pres-02b.pdf","Austria",40,"Western Europe","Developed","HIC","Nationwide",,8.9551,1,,,"Waste Composition Analysis",1,"This presentation (in English) by the Environment Agency Austria references a range of other studies in German, summarising the current state of knowledge. These came from Waste Compositional Analyses, although precise details are not in the presentation (apart from for one region, Lower Austria). For the one paper where methodological aspects is given, it refers to sampling from three areas: rural (without centre); rural (with centre); urban, with 796 samples. Whilst more methodology on the other primary studies would have made this clearer, assuming similar methodologies are used in the other cases suggests a sufficiently large and diverse sample.",,,"Unclear",,,57%,"Has estimates of avoidable and partly avoidable waste as being 157,000 tonnes."," 276,000 ","Tonnes / year",276000,276000," 276,000 ",," -   "," -   ",,39.00,"kg / capita / year",39.00,39.00,39,39,1.00,1.00,1.00,1.00,1.00,39
2,"Food Waste Statistics Austria",2017,"https://ec.europa.eu/food/sites/food/files/safety/docs/fw_eu-platform_20170925_sub-fwm_pres-02b.pdf","Austria",40,"Western Europe","Developed","HIC","Nationwide",,8.9551,,,1,"Data from industry",1,"Five different retail companies, with market share of about 83%, contributed data on their food waste. This paper was also referenced by EU FUSIONS and judged to be 'data of sufficient quality'.",,,2013,,,,," 74,100 ","Tonnes / year",74100,74100," 74,100 ",1," 8,585,614 "," -   ",9,,,,,,9,1.00,1.00,1.00,1.00,1.00,9
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Austria",40,"Western Europe","Developed","HIC","Nationwide",,8.9551,,1,,"Literature",1,"The original paper referenced is in German. The reference explains that 29 hospitality companies including restaurants, hotels and canteen kitchens recorded their food waste. This therefore has coverage across both commercial and non-commercial dining.",,,2014,,,72%,"Separates edible and inedible waste. Approximately 23/32 kg/capita was edible. "," 268,735 ","Tonnes / year",268735,268735," 268,735 ",1," 8,644,186 "," -   ",31,,,,,,31,1.00,1.00,1.00,1.00,1.00,31
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Estonia",233,"Northern Europe","Developed","HIC","Nationwide",,1.3256,,,1,"Literature",2,"This study cites a paper in Estonian from which the figures are taken. 11 retailers had detailed analyses carried out including interviews, on-site observations and weighing. An additional questionnaire was sent to 600 retailers and 183 wholesalers, scaled by grocery store distribution across Estonia.  This study was also cited in Stenmarck et al. (2016) with a slightly different waste figure, it is unclear if this is rounding error or some other calculation.",,,2017,,,,," 6,200 ","Tonnes / year",6200,6200," 6,200 ",1," 1,319,400 "," -   ",5,,,,,,5,1.00,1.00,1.00,1.00,1.00,5
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Luxembourg",442,"Western Europe","Developed","HIC","Nationwide",,0.6157,,,1,"Literature",2,"This figure comes from a review paper which references a primary source (in German) which is mentioned as being a survey to retail and distribution companies, although further methodological details are not provided. This estimate has been complemented by a more recent study in the same country.",,,2013,,,,," 4,950 ","Tonnes / year",4950,4950," 4,950 ",," 543,900 "," -   ",,9.00,"kg / capita / year",9.00,9.00,9,9,1.00,1.00,1.00,1.00,1.00,9
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Luxembourg",442,"Western Europe","Developed","HIC","Nationwide",,0.6157,1,,,"Literature",2,"This figure comes from a review paper which references a primary source (in German) which is mentioned as being a waste composition study, although further methodological details are not provided. This estimate has been complemented by a more recent study in the same country.",,,2013,,,,," 49,260 ","Tonnes / year",49260,49260," 49,260 ",," 543,900 "," -   ",,90.00,"kg / capita / year",90.00,90.00,90,90,1.00,1.00,1.00,1.00,1.00,90
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Malta",470,"Southern Europe","Developed","HIC","Nationwide",,0.4404,1,,,"Literature",1,"The figure comes from a review paper which details the methodology of the original study. 700 households were randomly sampled for one week in each of July, October and April as part of a waste compositional analysis.",,,"2011-2012",,,,,,,,,,," -   "," -   ",,129.00,"kg / capita / year",129.00,129.00,129,129,1.00,1.00,1.00,1.00,1.00,129
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Norway",578,"Northern Europe","Developed","HIC","Nationwide",,5.3789,,,1,"Literature",2,"89 stores from 3 different retail chains provided data, alongside wholesalers covering a large share of the market, both upscaled to the whole of Norway. It was not possible to disaggregate wholesale.  Only edible food reported and the figures have therefore been adusted to estimate the entire food waste.",,1,2016,,,,"Only edible waste is presented."," 68,499 ","Tonnes / year",68499,68499," 68,499 ",," 5,237,671 "," -   ",,11.00,"kg / capita / year",11.00,11.00,11,11,1.00,1.00,1.00,1.18,1.18,13
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Norway",578,"Northern Europe","Developed","HIC","Nationwide",,5.3789,,,1,"Literature",2,"89 stores from 3 different retail chains provided data, alongside wholesalers covering a large share of the market, both upscaled to the whole of Norway. It was not possible to disaggregate wholesale.  Only edible food reported and the figures have therefore been adusted to estimate the entire food waste.",,1,2015,,,,"Only edible waste is presented."," 63,245 ","Tonnes / year",63245,63245," 63,245 ",," 5,179,043 "," -   ",,12.00,"kg / capita / year",12.00,12.00,12,12,1.00,1.00,1.00,1.18,1.18,14
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Spain",724,"Southern Europe","Developed","HIC","Nationwide",,46.7368,1,,,"Literature",2,"The figure comes from a review paper which cites a study produced by the Spanish Environment Ministry. It involved 4000 households doing an online waste diary survey, 2000 of which documented their shopping and waste with the other half used to develop user profile and preferences. This only looks at edible waste so has been adjusted.",1,1,2016,,,,"Only edible waste is presented."," 1,240,000 ","Tonnes / year",1240000,1240000," 1,240,000 ",1," 46,687,914 "," -   ",27,,,,,,27,1.43,2.04,1.00,1.00,2.92,78
3,"Review of studies on food waste accounting at Member State level.",2019,"https://op.europa.eu/en/publication-detail/-/publication/e8e18370-1db9-11ea-95ab-01aa75ed71a1/language-en","Spain",724,"Southern Europe","Developed","HIC","Nationwide",,46.7368,1,,,"Literature",2,"The figure comes from a review paper which cites a study produced by the Spanish Environment Ministry. It is similar to the other Spanish datapoint but involves a higher number of households, with 12,000 considered for building the profile of shopping habits and 4,000 doing the waste diary. This only looks at edible waste so has been adjusted.",1,1,2016,,,,"Only edible waste is presented."," 1,229,509 ","Tonnes / year",1229509,1229509," 1,229,509 ",1," 46,687,914 "," -   ",26,,,,,,26,1.43,2.04,1.00,1.00,2.92,77
4,"Minister of works: 195 thousand tons of food waste annually",2018,"https://alay.am/p/c8b","Bahrain",48,"Western Asia","Developing","HIC","Nationwide",,1.6412,1,,,"Waste Composition Analysis",2,"The source link is to a newspaper article which refers to a report by the Center for Waste Management. The original Center for Waste Management Report could not be found. However, the infographic (clearly copied from the original report) and the article make clear that a waste compositional analysis was undertaken, referring to 'huge quantities of household waste collected from the various region of Bahrain' being sorted.  The inability to find the source paper means we cannot have high confidence in the results.",,,2017,35%,"Share of waste which is food waste, distinct from organic",,," 196,787 ","Tonnes / year",196787,196787," 196,787 ",1," 1,494,100 "," -   ",132,,,,,,132,1.00,1.00,1.00,1.00,1.00,132
5,"Generation and Assessing the Composition of Household Solid Waste in Commercial Capital City of Bangladesh",2012,"https://www.researchgate.net/publication/259390038_Generation_and_assessing_the_composition_of_household_solid_waste_in_commercial_capital_city_of_Bangladesh","Bangladesh",50,"Southern Asia","Developing","LMC","Municipality & Sub-national region","Chittagong",163.0462,1,,,"Waste Composition Analysis",2,"55 households in five different socioeconomic groups across three different areas had their waste sampled daily, using plastic bags provided to them. It was unclear for how long the sampling ran for each household. This small sample size and unkown duration means we cannot have high confidence.",,,2010,72%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.20,"kg / capita / day",0.20,73.63,74,74,1.00,1.00,1.00,1.00,1.00,74
